I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
48, 175, 126, -112, -39, 151, 185, 429, 302, -370, -107, -312, 
48, 175, 126, -112, -39, 151, 185, 429, 302, -370, -107, -312, 
48, 175, 126, -112, -39, 151, 185, 429, 302, -370, -107, -312, 
48, 175, 126, -112, -39, 151, 185, 429, 302, -370, -107, -312, 
58, 170, 112, -114, -26, 141, 170, 419, 287, -370, -97, -312, 
58, 165, 107, -112, -24, 136, 156, 409, 283, -370, -97, -312, 
58, 161, 102, -109, -21, 131, 141, 400, 278, -370, -97, -312, 
58, 156, 97, -107, -19, 126, 126, 390, 273, -370, -97, -312, 
48, 141, 92, -95, -21, 117, 107, 370, 248, -380, -107, -312, 
48, 136, 87, -92, -19, 112, 97, 351, 234, -390, -107, -312, 
48, 131, 82, -90, -17, 107, 87, 331, 219, -400, -107, -312, 
48, 126, 78, -87, -14, 102, 78, 312, 204, -409, -107, -312, 
43, 117, 73, -80, -14, 95, 63, 292, 185, -429, -126, -326, 
39, 107, 68, -73, -14, 87, 58, 273, 165, -439, -136, -331, 
34, 97, 63, -65, -14, 80, 53, 253, 146, -448, -146, -336, 
29, 87, 58, -58, -14, 73, 48, 234, 126, -458, -156, -341, 
39, 87, 48, -63, -4, 68, 43, 214, 112, -473, -165, -351, 
39, 87, 48, -63, -4, 68, 39, 195, 97, -478, -165, -351, 
39, 87, 48, -63, -4, 68, 34, 175, 82, -483, -165, -351, 
39, 87, 48, -63, -4, 68, 29, 156, 68, -488, -165, -351, 
29, 78, 48, -53, -9, 63, 24, 131, 43, -488, -156, -351, 
29, 68, 39, -48, -4, 53, 19, 117, 29, -488, -156, -351, 
29, 58, 29, -43, 0, 43, 14, 102, 14, -488, -156, -351, 
29, 48, 19, -39, 4, 34, 9, 87, 0, -488, -156, -351, 
24, 43, 19, -34, 2, 31, 0, 73, -9, -502, -165, -361, 
19, 39, 19, -29, 0, 29, 0, 58, -19, -507, -165, -361, 
14, 34, 19, -24, -2, 26, 0, 43, -29, -512, -165, -361, 
9, 29, 19, -19, -4, 24, 0, 29, -39, -517, -165, -361, 
4, 24, 19, -14, -7, 21, 0, 19, -48, -522, -180, -370, 
0, 19, 19, -9, -9, 19, 0, 9, -58, -527, -185, -370, 
-4, 14, 19, -4, -12, 17, 0, 0, -68, -531, -190, -370, 
-9, 9, 19, 0, -14, 14, 0, -9, -78, -536, -195, -370, 
-9, 0, 9, 4, -9, 4, 0, -19, -82, -541, -195, -370, 
-9, 0, 9, 4, -9, 4, 0, -29, -87, -546, -195, -370, 
