I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
34, -395, -429, 180, 231, -412, -73, -43, -234, -209, -253, 1171, 
29, -405, -434, 187, 231, -419, -73, -43, -248, -219, -268, 1156, 
29, -424, -453, 197, 241, -439, -63, -34, -268, -239, -278, 1151, 
39, -434, -473, 197, 256, -453, -58, -29, -292, -273, -297, 1141, 
48, -458, -507, 204, 278, -483, -53, -29, -336, -302, -317, 1137, 
82, -483, -566, 200, 324, -524, -58, -29, -395, -351, -341, 1137, 
122, -492, -614, 185, 368, -553, -92, -68, -478, -405, -370, 1161, 
165, -497, -663, 165, 414, -580, -156, -126, -575, -478, -385, 1195, 
190, -531, -722, 170, 456, -627, -190, -165, -658, -556, -434, 1200, 
209, -600, -810, 195, 509, -705, -195, -190, -756, -649, -512, 1166, 
224, -702, -927, 239, 575, -814, -195, -180, -849, -746, -605, 1068, 
248, -805, -1054, 278, 651, -929, -195, -180, -941, -854, -692, 980, 
258, -868, -1127, 305, 692, -997, -185, -170, -1019, -936, -756, 927, 
283, -907, -1190, 312, 736, -1049, -185, -165, -1068, -976, -805, 902, 
307, -976, -1283, 334, 795, -1129, -185, -165, -1146, -1063, -868, 844, 
317, -1010, -1327, 346, 822, -1168, -200, -175, -1190, -1098, -912, 771, 
331, -1010, -1342, 339, 836, -1176, -224, -190, -1176, -1093, -917, 736, 
356, -1005, -1361, 324, 858, -1183, -234, -200, -1151, -1088, -922, 727, 
356, -1005, -1361, 324, 858, -1183, -239, -209, -1102, -1078, -936, 683, 
356, -985, -1342, 314, 849, -1163, -239, -214, -1024, -1044, -936, 629, 
356, -976, -1332, 309, 844, -1154, -224, -214, -956, -1010, -932, 605, 
317, -936, -1254, 309, 785, -1095, -200, -229, -849, -917, -888, 595, 
278, -878, -1156, 300, 717, -1017, -131, -204, -707, -829, -829, 575, 
278, -854, -1132, 287, 705, -993, -34, -136, -644, -790, -805, 575, 
292, -941, -1234, 324, 763, -1088, 9, -68, -800, -883, -873, 536, 
341, -1210, -1551, 434, 946, -1381, 53, 63, -1137, -1122, -1058, 414, 
434, -1454, -1888, 509, 1161, -1671, 29, 117, -1424, -1332, -1229, 302, 
517, -1571, -2088, 527, 1302, -1830, -122, 9, -1561, -1439, -1317, 234, 
595, -1639, -2235, 522, 1415, -1937, -312, -78, -1629, -1488, -1376, 180, 
668, -1747, -2415, 539, 1542, -2081, -375, -48, -1693, -1551, -1449, 122, 
736, -1820, -2557, 541, 1647, -2188, -385, -34, -1698, -1581, -1503, 73, 
775, -1844, -2620, 534, 1698, -2232, -380, -24, -1688, -1581, -1517, 48, 
790, -1844, -2635, 527, 1712, -2239, -419, -19, -1673, -1581, -1527, 34, 
810, -1878, -2688, 534, 1749, -2283, -463, -14, -1664, -1590, -1551, -9, 
834, -1942, -2776, 553, 1805, -2359, -473, -24, -1664, -1615, -1595, -78, 
854, -2005, -2859, 575, 1856, -2432, -492, -43, -1668, -1649, -1644, -126, 
873, -2030, -2903, 578, 1888, -2466, -502, -78, -1673, -1673, -1668, -156, 
893, -1995, -2888, 551, 1891, -2442, -541, -146, -1668, -1659, -1659, -156, 
936, -1995, -2932, 529, 1934, -2464, -585, -214, -1654, -1654, -1659, -165, 
946, -2000, -2947, 527, 1947, -2474, -629, -273, -1649, -1654, -1668, -204, 
917, -2015, -2932, 549, 1925, -2474, -649, -326, -1649, -1654, -1688, -258, 
834, -2083, -2918, 624, 1876, -2501, -663, -483, -1654, -1668, -1717, -322, 
810, -2127, -2937, 658, 1873, -2532, -712, -624, -1668, -1693, -1742, -366, 
824, -2127, -2952, 651, 1888, -2540, -761, -688, -1678, -1703, -1751, -405, 
834, -2103, -2937, 634, 1886, -2520, -810, -805, -1678, -1703, -1751, -405, 
834, -2093, -2928, 629, 1881, -2510, -829, -912, -1673, -1688, -1747, -400, 
834, -2034, -2869, 600, 1851, -2452, -819, -946, -1615, -1625, -1688, -366, 
790, -1830, -2620, 519, 1705, -2225, -824, -976, -1473, -1473, -1537, -224, 
732, -1600, -2332, 434, 1532, -1966, -800, -980, -1302, -1298, -1346, -34, 
658, -1390, -2049, 366, 1354, -1720, -766, -971, -1132, -1117, -1166, 161, 
590, -1190, -1781, 300, 1185, -1485, -717, -912, -976, -951, -995, 322, 
473, -927, -1400, 226, 936, -1163, -619, -756, -741, -717, -766, 541, 
351, -663, -1015, 156, 683, -839, -483, -556, -512, -488, -541, 771, 
195, -458, -653, 131, 424, -556, -341, -409, -302, -278, -341, 976, 
73, -278, -351, 102, 212, -314, -214, -258, -107, -87, -156, 1132, 
-43, -87, -43, 65, 0, -65, -73, -43, 97, 107, 24, 1293, 
-126, 43, 170, 41, -148, 107, 29, 107, 219, 239, 126, 1395, 
-151, 73, 224, 39, -187, 148, 58, 136, 263, 263, 161, 1449, 
-156, 92, 248, 31, -202, 170, 68, 146, 283, 278, 180, 1464, 
-170, 131, 302, 19, -236, 217, 82, 185, 317, 312, 214, 1478, 
-175, 141, 317, 17, -246, 229, 97, 190, 331, 326, 229, 1503, 
-180, 146, 326, 17, -253, 236, 97, 190, 341, 341, 229, 1517, 
-190, 165, 356, 12, -273, 261, 97, 190, 356, 366, 248, 1527, 
-190, 195, 385, -2, -287, 290, 97, 185, 375, 385, 283, 1546, 
-190, 214, 405, -12, -297, 309, 92, 180, 390, 390, 297, 1561, 
-190, 224, 414, -17, -302, 319, 87, 180, 405, 400, 307, 1576, 
-190, 244, 434, -26, -312, 339, 82, 180, 414, 414, 317, 1581, 
-195, 268, 463, -36, -329, 366, 87, 180, 429, 434, 331, 1595, 
-195, 283, 478, -43, -336, 380, 87, 180, 448, 448, 346, 1605, 
-195, 302, 497, -53, -346, 400, 87, 180, 468, 468, 361, 1620, 
-200, 326, 527, -63, -363, 427, 82, 170, 488, 497, 375, 1634, 
-200, 346, 546, -73, -373, 446, 82, 170, 512, 517, 400, 1654, 
-204, 366, 570, -80, -387, 468, 78, 165, 531, 531, 414, 1678, 
-204, 385, 590, -90, -397, 488, 78, 165, 551, 551, 434, 1693, 
-209, 409, 619, -100, -414, 514, 73, 161, 580, 585, 453, 1712, 
-214, 444, 658, -114, -436, 551, 73, 161, 600, 610, 478, 1732, 
-219, 473, 692, -126, -456, 583, 68, 161, 624, 629, 497, 1756, 
-224, 497, 722, -136, -473, 610, 68, 156, 649, 653, 522, 1776, 
-234, 522, 756, -143, -495, 639, 63, 151, 673, 678, 546, 1795, 
-239, 556, 795, -158, -517, 675, 58, 151, 702, 717, 570, 1825, 
-244, 585, 829, -170, -536, 707, 58, 141, 722, 741, 595, 1849, 
-248, 619, 868, -185, -558, 744, 48, 131, 746, 766, 624, 1878, 
-258, 653, 912, -197, -585, 783, 48, 126, 780, 805, 649, 1903, 
-258, 697, 956, -219, -607, 827, 43, 122, 814, 839, 688, 1932, 
-263, 736, 1000, -236, -631, 868, 43, 117, 849, 873, 722, 1961, 
-268, 771, 1039, -251, -653, 905, 43, 112, 878, 902, 751, 1991, 
-278, 805, 1083, -263, -680, 944, 43, 107, 902, 932, 780, 2015, 
-287, 839, 1127, -275, -707, 983, 43, 107, 932, 961, 814, 2044, 
-287, 873, 1161, -292, -724, 1017, 39, 102, 961, 990, 839, 2074, 
-302, 902, 1205, -300, -753, 1054, 39, 102, 980, 1010, 868, 2103, 
-317, 941, 1259, -312, -788, 1100, 39, 97, 1005, 1044, 893, 2127, 
-326, 971, 1298, -322, -812, 1134, 39, 92, 1034, 1063, 922, 2156, 
-331, 995, 1327, -331, -829, 1161, 39, 87, 1054, 1088, 946, 2181, 
-336, 1024, 1361, -344, -849, 1193, 39, 82, 1068, 1107, 966, 2210, 
-341, 1049, 1390, -353, -866, 1220, 39, 78, 1088, 1127, 976, 2239, 
-346, 1078, 1424, -366, -885, 1251, 39, 78, 1102, 1146, 1000, 2259, 
-351, 1102, 1454, -375, -902, 1278, 43, 78, 1112, 1156, 1019, 2278, 
-356, 1117, 1473, -380, -915, 1295, 43, 78, 1122, 1161, 1029, 2298, 
-361, 1132, 1493, -385, -927, 1312, 48, 78, 1127, 1171, 1034, 2308, 
-361, 1141, 1503, -390, -932, 1322, 53, 78, 1132, 1176, 1044, 2322, 
-356, 1146, 1503, -395, -929, 1324, 58, 78, 1132, 1176, 1058, 2332, 
-361, 1156, 1517, -397, -939, 1337, 63, 82, 1127, 1176, 1058, 2342, 
-361, 1156, 1517, -397, -939, 1337, 63, 97, 1127, 1176, 1054, 2352, 
-361, 1146, 1507, -392, -934, 1327, 68, 107, 1107, 1161, 1049, 2352, 
-361, 1132, 1493, -385, -927, 1312, 73, 117, 1098, 1141, 1034, 2347, 
-361, 1127, 1488, -383, -924, 1307, 78, 122, 1078, 1122, 1024, 2347, 
-351, 1112, 1464, -380, -907, 1288, 82, 126, 1054, 1102, 1005, 2337, 
-346, 1083, 1429, -368, -888, 1256, 87, 131, 1034, 1083, 985, 2322, 
-341, 1054, 1395, -356, -868, 1224, 87, 136, 1005, 1054, 961, 2313, 
-331, 1034, 1366, -351, -849, 1200, 92, 141, 966, 1029, 936, 2288, 
-317, 1000, 1317, -341, -817, 1159, 92, 146, 932, 995, 902, 2264, 
-312, 956, 1268, -322, -790, 1112, 92, 156, 893, 956, 868, 2230, 
-302, 912, 1215, -305, -758, 1063, 92, 156, 858, 912, 839, 2200, 
-297, 868, 1166, -285, -732, 1017, 97, 156, 814, 878, 795, 2166, 
-283, 824, 1107, -270, -695, 966, 97, 161, 766, 834, 756, 2137, 
-273, 771, 1044, -248, -658, 907, 87, 161, 722, 795, 712, 2098, 
-258, 717, 976, -229, -617, 846, 82, 165, 678, 746, 668, 2064, 
-229, 663, 893, -217, -561, 778, 78, 170, 634, 702, 629, 2020, 
-204, 610, 814, -202, -509, 712, 68, 165, 585, 649, 580, 1991, 
-180, 556, 736, -187, -458, 646, 58, 161, 546, 610, 536, 1952, 
-156, 502, 658, -173, -407, 580, 48, 156, 497, 566, 492, 1912, 
-136, 458, 595, -161, -366, 527, 39, 151, 453, 522, 448, 1873, 
-112, 419, 531, -153, -322, 475, 19, 141, 414, 478, 405, 1834, 
-92, 366, 458, -136, -275, 412, 19, 131, 370, 434, 370, 1795, 
-73, 317, 390, -122, -231, 353, 19, 122, 336, 390, 322, 1756, 
-53, 273, 326, -109, -190, 300, 24, 122, 292, 346, 283, 1712, 
-34, 234, 268, -100, -151, 251, 34, 122, 258, 312, 248, 1678, 
-19, 185, 204, -82, -112, 195, 53, 122, 224, 268, 209, 1644, 
0, 126, 126, -63, -63, 126, 63, 122, 190, 224, 170, 1610, 
19, 87, 68, -53, -24, 78, 63, 117, 156, 195, 141, 1576, 
39, 68, 29, -53, 4, 48, 58, 112, 131, 161, 117, 1551, 
63, 48, -14, -56, 39, 17, 34, 78, 117, 151, 87, 1527, 
82, 48, -34, -65, 58, 7, -24, 34, 102, 131, 78, 1512, 
102, 43, -58, -73, 80, -7, -97, -34, 87, 122, 68, 1498, 
126, 43, -82, -85, 104, -19, -165, -78, 68, 112, 63, 1493, 
131, 39, -92, -85, 112, -26, -209, -112, 58, 102, 48, 1483, 
141, 29, -112, -85, 126, -41, -244, -146, 34, 82, 39, 1468, 
146, 9, -136, -78, 141, -63, -263, -175, 24, 68, 19, 1454, 
156, 4, -151, -80, 153, -73, -263, -180, 9, 53, 9, 1449, 
156, -4, -161, -75, 158, -82, -273, -185, 0, 43, 0, 1444, 
161, -19, -180, -70, 170, -100, -273, -185, -19, 34, -9, 1434, 
161, -48, -209, -56, 185, -129, -263, -180, -39, 14, -24, 1424, 
161, -87, -248, -36, 204, -168, -258, -175, -53, 0, -43, 1405, 
151, -131, -283, -9, 217, -207, -244, -156, -78, -29, -68, 1385, 
141, -165, -307, 12, 224, -236, -214, -131, -97, -48, -87, 1361, 
126, -190, -317, 31, 222, -253, -180, -107, -107, -63, -107, 1346, 
117, -209, -326, 46, 222, -268, -161, -87, -122, -78, -122, 1332, 
107, -224, -331, 58, 219, -278, -141, -68, -126, -87, -126, 1327, 
107, -234, -341, 63, 224, -287, -131, -63, -126, -97, -136, 1317, 
92, -239, -331, 73, 212, -285, -126, -58, -126, -97, -141, 1317, 
82, -258, -341, 87, 212, -300, -117, -58, -126, -102, -146, 1307, 
68, -283, -351, 107, 209, -317, -117, -58, -131, -112, -161, 1288, 
63, -312, -375, 124, 219, -344, -117, -58, -141, -112, -165, 1278, 
48, -312, -361, 131, 204, -336, -112, -58, -156, -122, -175, 1273, 
43, -331, -375, 143, 209, -353, -107, -58, -170, -131, -185, 1263, 
43, -336, -380, 146, 212, -358, -102, -58, -170, -131, -185, 1254, 
39, -346, -385, 153, 212, -366, -97, -48, -175, -136, -190, 1239, 
39, -341, -380, 151, 209, -361, -92, -48, -175, -141, -195, 1239, 
39, -341, -380, 151, 209, -361, -87, -43, -175, -146, -195, 1234, 
34, -346, -380, 156, 207, -363, -82, -39, -175, -151, -200, 1234, 
34, -351, -385, 158, 209, -368, -82, -39, -180, -161, -204, 1234, 
34, -361, -395, 163, 214, -378, -82, -34, -185, -161, -209, 1229, 
34, -366, -400, 165, 217, -383, -82, -29, -185, -161, -214, 1224, 
34, -366, -400, 165, 217, -383, -78, -29, -190, -165, -214, 1224, 
34, -370, -405, 168, 219, -387, -73, -29, -190, -165, -214, 1220, 
29, -370, -400, 170, 214, -385, -68, -24, -185, -165, -214, 1220, 
