I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 29, 29, -14, -14, 29, -9, 87, -1278, -488, -336, 29, 
0, 29, 29, -14, -14, 29, -9, 87, -1278, -488, -341, 29, 
0, 29, 29, -14, -14, 29, -9, 82, -1278, -488, -341, 29, 
0, 29, 29, -14, -14, 29, -9, 78, -1278, -488, -341, 29, 
-4, 29, 34, -12, -19, 31, -9, 78, -1278, -492, -341, 29, 
-4, 29, 34, -12, -19, 31, -9, 73, -1278, -492, -346, 29, 
-9, 29, 39, -9, -24, 34, -9, 73, -1278, -497, -351, 29, 
-9, 29, 39, -9, -24, 34, -9, 73, -1278, -497, -341, 29, 
-9, 29, 39, -9, -24, 34, -9, 73, -1288, -512, -336, 29, 
-9, 29, 39, -9, -24, 34, 0, 73, -1278, -502, -331, 34, 
-9, 29, 39, -9, -24, 34, 0, 73, -1278, -502, -331, 34, 
-9, 29, 39, -9, -24, 34, 4, 82, -1273, -497, -326, 39, 
-14, 29, 43, -7, -29, 36, 9, 87, -1273, -502, -326, 39, 
-14, 34, 48, -9, -31, 41, 19, 92, -1273, -502, -317, 43, 
-14, 34, 48, -9, -31, 41, 24, 92, -1273, -502, -317, 43, 
-14, 39, 53, -12, -34, 46, 24, 97, -1268, -497, -312, 43, 
-24, 39, 63, -7, -43, 51, 24, 97, -1263, -502, -312, 43, 
-29, 39, 68, -4, -48, 53, 24, 97, -1259, -507, -312, 43, 
-29, 34, 63, -2, -46, 48, 24, 92, -1268, -512, -312, 43, 
-34, 24, 58, 4, -46, 41, 24, 82, -1268, -517, -312, 39, 
-39, 19, 58, 9, -48, 39, 14, 78, -1273, -527, -317, 29, 
-39, 14, 53, 12, -46, 34, 9, 68, -1278, -531, -317, 24, 
-39, 0, 39, 19, -39, 19, 4, 58, -1283, -536, -326, 14, 
-34, 0, 34, 17, -34, 17, 0, 58, -1283, -536, -326, 14, 
-34, -4, 29, 19, -31, 12, -4, 43, -1293, -541, -326, 14, 
-34, -9, 24, 21, -29, 7, -9, 29, -1293, -546, -326, 14, 
-39, -14, 24, 26, -31, 4, -14, 14, -1302, -556, -331, -4, 
-39, -19, 19, 29, -29, 0, -14, 9, -1302, -561, -331, -9, 
-43, -24, 19, 34, -31, -2, -14, 4, -1317, -561, -336, -9, 
