I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
0, 0, 0, 0, 0, 0, 0, -19, -9, 0, -9, -9, 
-4, -4, 0, 4, -2, -2, 0, -19, -9, 0, -9, -9, 
-9, -9, 0, 9, -4, -4, 0, -19, -9, 0, -9, -9, 
-9, -9, 0, 9, -4, -4, 0, -14, -9, 0, -4, -4, 
-9, -9, 0, 9, -4, -4, 0, -9, -9, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, -9, -9, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, -9, -9, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, -4, -9, -9, -4, 0, 0, 
-9, -9, 0, 9, -4, -4, -9, -9, -9, -9, 0, 0, 
-9, -9, 0, 9, -4, -4, -9, -9, -9, -9, 0, 0, 
-9, -9, 0, 9, -4, -4, -9, -9, -9, -9, 0, 0, 
-9, -9, 0, 9, -4, -4, -9, -9, -9, -9, 0, 0, 
-9, -9, 0, 9, -4, -4, -9, -9, -9, -9, 0, 0, 
-4, -9, -4, 7, 0, -7, -9, -9, -4, -4, 0, 0, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 0, 0, 0, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 4, 0, 0, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 9, 0, 0, 
0, -4, -4, 2, 2, -4, -9, -9, 0, 9, 0, 0, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 9, 0, 0, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 4, 0, 0, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, 0, 
0, -4, -4, 2, 2, -4, -9, -4, 0, 0, -4, 0, 
0, -9, -9, 4, 4, -9, -9, 0, 0, 0, -9, 0, 
0, -9, -9, 4, 4, -9, -4, 0, 0, 0, -9, -4, 
0, -9, -9, 4, 4, -9, 0, 0, 0, 0, -9, -9, 
0, -9, -9, 4, 4, -9, 0, 0, 0, 0, -4, -9, 
0, -9, -9, 4, 4, -9, 0, 0, 0, 0, 0, -9, 
0, -9, -9, 4, 4, -9, -4, -4, 0, 0, 0, -9, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 0, 0, -9, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 0, 0, -9, 
0, -9, -9, 4, 4, -9, -9, -9, 0, 0, 0, -9, 
0, -4, -4, 2, 2, -4, -9, -9, 0, 0, 0, -4, 
0, 0, 0, 0, 0, 0, -9, -9, 0, 0, 0, 0, 
-4, 0, 4, 2, -4, 2, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -9, -9, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, -4, -4, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, -4, 4, 7, -7, 0, 0, 0, 0, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, 0, 0, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, 0, 0, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, 0, 0, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, 0, 0, 0, 0, 0, 
-9, -9, 0, 9, -4, -4, 0, 0, 0, 0, 0, 0, 
-9, -4, 4, 7, -7, 0, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, -4, 0, 0, 0, 0, 
-9, 0, 9, 4, -9, 4, 0, -9, 0, 0, 0, 0, 
-14, 0, 14, 7, -14, 7, 0, -4, -4, -4, 0, -4, 
-14, 0, 14, 7, -14, 7, 0, -4, 0, -4, 0, -4, 
-14, -4, 9, 9, -12, 2, -4, -4, 0, -4, 0, -4, 
-14, -4, 9, 9, -12, 2, -4, -4, 9, -4, -4, -4, 
-14, 0, 14, 7, -14, 7, -9, 0, 4, 0, 0, -4, 
-14, -9, 4, 12, -9, -2, -9, 0, 0, 0, -4, -4, 
-14, -14, 0, 14, -7, -7, -4, -4, -4, -9, -4, -9, 
-4, -9, -4, 7, 0, -7, 0, -4, -4, -4, -4, -14, 
-9, 0, 9, 4, -9, 4, 0, 0, 0, -4, -4, -4, 
-14, -4, 9, 9, -12, 2, 0, 4, 0, -4, -9, -4, 
-9, -4, 4, 7, -7, 0, 0, 4, 0, -4, -4, -4, 
-9, -9, 0, 9, -4, -4, -4, 4, 0, -4, -4, -4, 
-9, -14, -4, 12, -2, -9, 0, 4, 0, -4, -9, -4, 
-9, -19, -9, 14, 0, -14, -4, 0, -19, -14, -14, -14, 
-9, -19, -9, 14, 0, -14, -14, -14, -14, -14, -14, -14, 
-14, -19, -4, 17, -4, -12, -14, -19, -24, -14, -14, -14, 
-9, -19, -9, 14, 0, -14, -29, -24, -24, -14, -19, -14, 
-9, -29, -19, 19, 4, -24, -29, -24, -34, -29, -24, -19, 
4, -43, -48, 19, 26, -46, -24, -29, -39, -34, -39, -24, 
9, -48, -58, 19, 34, -53, -14, -24, -34, -34, -39, -29, 
4, -58, -63, 26, 34, -61, 0, -14, -34, -34, -34, -29, 
4, -63, -68, 29, 36, -65, 14, -4, -29, -34, -29, -29, 
9, -24, -34, 7, 21, -29, 24, 14, -9, -19, -14, -19, 
14, 4, -9, -9, 12, -2, 34, 24, 9, -4, 0, -9, 
29, 4, -24, -17, 26, -9, 29, 19, 4, 9, 0, -4, 
39, 14, -24, -26, 31, -4, 24, 14, 9, 24, 9, 0, 
48, 0, -48, -24, 48, -24, 9, 14, 4, 4, -4, -9, 
53, 0, -53, -26, 53, -26, 0, 14, 4, -9, -14, -9, 
43, -24, -68, -9, 56, -46, -19, -9, -19, -24, -24, -19, 
34, -48, -82, 7, 58, -65, -19, -19, -34, -34, -34, -29, 
14, -43, -58, 14, 36, -51, -9, -24, -24, -19, -24, -24, 
0, -43, -43, 21, 21, -43, -9, -29, -19, -14, -24, -24, 
-9, -19, -9, 14, 0, -14, -4, -14, -9, -4, -9, -14, 
-14, 4, 19, 4, -17, 12, -4, 0, 0, 4, 4, -4, 
-14, 9, 24, 2, -19, 17, 4, 4, 9, 14, 9, 4, 
-19, 24, 43, -2, -31, 34, 14, 9, 19, 24, 14, 14, 
-19, 24, 43, -2, -31, 34, 14, 9, 19, 24, 14, 9, 
-19, 24, 43, -2, -31, 34, 14, 14, 19, 24, 14, 9, 
-24, 24, 48, 0, -36, 36, 19, 14, 19, 24, 19, 9, 
-24, 24, 48, 0, -36, 36, 19, 14, 19, 24, 24, 9, 
-24, 24, 48, 0, -36, 36, 14, 14, 19, 24, 24, 14, 
-24, 24, 48, 0, -36, 36, 9, 19, 19, 24, 24, 19, 
-24, 14, 39, 4, -31, 26, 9, 19, 19, 9, 14, 14, 
-39, 4, 43, 17, -41, 24, 24, 19, 19, 4, 4, 0, 
-73, -53, 19, 63, -46, -17, 78, 29, 19, -9, -24, -34, 
-112, -78, 34, 95, -73, -21, 170, 122, 82, 24, -24, -48, 
-112, -29, 82, 70, -97, 26, 234, 268, 234, 146, 63, 9, 
-29, 126, 156, -48, -92, 141, 239, 473, 483, 390, 263, 151, 
165, 341, 175, -253, -4, 258, 219, 736, 756, 658, 507, 356, 
390, 605, 214, -497, 87, 409, 214, 1112, 1171, 1000, 795, 585, 
639, 956, 317, -797, 161, 636, 190, 1561, 1722, 1473, 1161, 863, 
878, 1337, 458, -1107, 209, 897, 4, 1698, 1971, 1761, 1449, 1141, 
1044, 1708, 663, -1376, 190, 1185, -380, 1205, 1761, 1756, 1605, 1371, 
1029, 1756, 727, -1393, 151, 1241, -771, 302, 907, 1161, 1302, 1293, 
751, 1478, 727, -1115, 12, 1102, -907, -605, -24, 400, 756, 1000, 
419, 1107, 688, -763, -134, 897, -756, -936, -473, -68, 331, 688, 
190, 751, 561, -470, -185, 656, -570, -858, -580, -253, 122, 458, 
34, 502, 468, -268, -217, 485, -346, -717, -507, -273, 19, 322, 
-43, 361, 405, -158, -224, 383, -112, -473, -361, -239, -4, 224, 
-151, 175, 326, -12, -239, 251, 68, -312, -234, -214, -68, 92, 
-253, 9, 263, 122, -258, 136, 209, -239, -175, -175, -107, 0, 
-322, -117, 204, 219, -263, 43, 326, -209, -175, -175, -151, -63, 
