I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-92, -112, -19, 102, -36, -65, 19, -73, -112, 34, 39, 68, 
-92, -117, -24, 104, -34, -70, 19, -78, -112, 39, 53, 82, 
-92, -122, -29, 107, -31, -75, 14, -82, -112, 39, 63, 92, 
-92, -122, -29, 107, -31, -75, 14, -87, -112, 34, 48, 73, 
-97, -122, -24, 109, -36, -73, 9, -87, -117, 29, 34, 53, 
-92, -112, -19, 102, -36, -65, 4, -92, -117, 29, 39, 53, 
-87, -102, -14, 95, -36, -58, 0, -97, -112, 29, 39, 53, 
-92, -102, -9, 97, -41, -56, 0, -97, -112, 29, 39, 58, 
-92, -107, -14, 100, -39, -61, 0, -97, -112, 34, 43, 63, 
-87, -112, -24, 100, -31, -68, 4, -97, -117, 34, 43, 63, 
-87, -117, -29, 102, -29, -73, 9, -102, -122, 34, 43, 63, 
-87, -107, -19, 97, -34, -63, 4, -102, -126, 39, 39, 63, 
-87, -107, -19, 97, -34, -63, 4, -102, -131, 39, 34, 58, 
-87, -112, -24, 100, -31, -68, 9, -102, -131, 39, 34, 58, 
-87, -117, -29, 102, -29, -73, 9, -102, -126, 43, 39, 63, 
-87, -117, -29, 102, -29, -73, 4, -102, -131, 43, 48, 63, 
-92, -117, -24, 104, -34, -70, 4, -107, -136, 43, 58, 58, 
-97, -117, -19, 107, -39, -68, 4, -107, -141, 29, 14, 4, 
-87, -107, -19, 97, -34, -63, 4, -107, -141, 53, 24, 19, 
-73, -112, -39, 92, -17, -75, 0, -102, -141, 78, 87, 122, 
-97, -122, -24, 109, -36, -73, 0, -102, -146, 39, 29, 43, 
-87, -126, -39, 107, -24, -82, 0, -102, -161, 29, 29, 43, 
-73, -141, -68, 107, -2, -104, 4, -97, -180, 19, 19, 29, 
-58, -141, -82, 100, 12, -112, 4, -87, -190, 0, -4, 14, 
-43, -141, -97, 92, 26, -119, 0, -82, -224, -39, -48, -29, 
-19, -175, -156, 97, 68, -165, 4, -73, -273, -107, -131, -136, 
9, -248, -258, 119, 134, -253, 19, -39, -331, -190, -214, -248, 
43, -366, -409, 161, 226, -387, 43, 0, -414, -302, -346, -409, 
73, -497, -570, 212, 322, -534, 73, 43, -507, -434, -502, -610, 
78, -561, -639, 241, 358, -600, 102, 58, -590, -575, -668, -814, 
78, -653, -732, 287, 405, -692, 131, 73, -692, -736, -868, -1039, 
63, -775, -839, 356, 451, -807, 175, 92, -761, -883, -1083, -1312, 
58, -873, -932, 407, 495, -902, 219, 102, -814, -980, -1229, -1498, 
53, -971, -1024, 458, 539, -997, 263, 117, -888, -1088, -1351, -1664, 
53, -1078, -1132, 512, 592, -1105, 302, 165, -936, -1161, -1434, -1771, 
48, -1259, -1307, 605, 678, -1283, 361, 209, -1019, -1288, -1595, -1991, 
48, -1410, -1459, 680, 753, -1434, 400, 248, -1107, -1415, -1742, -2156, 
53, -1532, -1586, 739, 819, -1559, 453, 292, -1141, -1478, -1830, -2274, 
68, -1673, -1742, 802, 905, -1708, 497, 336, -1205, -1581, -1947, -2420, 
151, -1849, -2000, 849, 1076, -1925, 512, 375, -1361, -1766, -2132, -2576, 
200, -2034, -2235, 917, 1217, -2135, 527, 380, -1551, -1981, -2352, -2771, 
224, -2239, -2464, 1007, 1344, -2352, 551, 370, -1795, -2235, -2576, -2976, 
234, -2366, -2601, 1066, 1417, -2483, 527, 307, -2025, -2454, -2766, -3108, 
258, -2420, -2679, 1080, 1468, -2549, 473, 204, -2274, -2679, -2947, -3240, 
292, -2430, -2723, 1068, 1507, -2576, 346, 53, -2576, -2893, -3089, -3298, 
326, -2425, -2752, 1049, 1539, -2588, 190, -107, -2825, -3040, -3167, -3298, 
317, -2376, -2693, 1029, 1505, -2535, 87, -258, -2854, -3025, -3113, -3215, 
317, -2327, -2644, 1005, 1481, -2486, 48, -317, -2762, -2898, -2976, -3054, 
351, -2196, -2547, 922, 1449, -2371, -4, -287, -2503, -2596, -2674, -2766, 
400, -2010, -2410, 805, 1405, -2210, -73, -268, -2196, -2225, -2298, -2405, 
405, -1830, -2235, 712, 1320, -2032, -97, -253, -1898, -1908, -1981, -2098, 
370, -1659, -2030, 644, 1200, -1844, -97, -273, -1703, -1688, -1756, -1859, 
268, -1512, -1781, 622, 1024, -1647, -87, -292, -1473, -1449, -1522, -1625, 
97, -1356, -1454, 629, 775, -1405, -53, -322, -1268, -1224, -1307, -1424, 
-14, -1190, -1176, 602, 580, -1183, -53, -370, -1102, -1049, -1137, -1229, 
-63, -956, -893, 509, 414, -924, -63, -395, -946, -849, -936, -995, 
-122, -732, -610, 427, 244, -671, -63, -380, -736, -610, -683, -717, 
-165, -546, -380, 356, 107, -463, -19, -312, -517, -366, -424, -458, 
-185, -366, -180, 275, -2, -273, 0, -253, -331, -161, -200, -234, 
-175, -190, -14, 183, -80, -102, 0, -219, -204, 0, -29, -29, 
-165, -82, 82, 124, -124, 0, 14, -170, -97, 126, 107, 117, 
-165, -24, 141, 95, -153, 58, 24, -122, 0, 224, 214, 209, 
-156, 29, 185, 63, -170, 107, 24, -102, 34, 273, 263, 268, 
-141, 78, 219, 31, -180, 148, 9, -102, 39, 297, 292, 317, 
-117, 117, 234, 0, -175, 175, -4, -102, 29, 312, 312, 346, 
-107, 141, 248, -17, -178, 195, -14, -102, 53, 336, 336, 361, 
-102, 156, 258, -26, -180, 207, -14, -97, 63, 351, 351, 375, 
-102, 170, 273, -34, -187, 222, -19, -97, 63, 351, 356, 395, 
-97, 180, 278, -41, -187, 229, -19, -97, 63, 361, 370, 409, 
-92, 200, 292, -53, -192, 246, -24, -92, 78, 380, 385, 419, 
-92, 209, 302, -58, -197, 256, -29, -87, 87, 400, 405, 444, 
-97, 219, 317, -61, -207, 268, -34, -92, 97, 405, 419, 463, 
-102, 239, 341, -68, -222, 290, -34, -92, 102, 409, 434, 483, 
-107, 244, 351, -68, -229, 297, -34, -92, 117, 429, 444, 502, 
-107, 253, 361, -73, -234, 307, -39, -92, 126, 444, 463, 517, 
