I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
253, 673, 419, -463, -82, 546, 165, 1395, 517, 858, 1171, 527, 
268, 702, 434, -485, -82, 568, 195, 1439, 566, 917, 1220, 551, 
283, 732, 448, -507, -82, 590, 224, 1483, 614, 976, 1268, 575, 
283, 746, 463, -514, -90, 605, 253, 1551, 683, 1010, 1283, 590, 
283, 761, 478, -522, -97, 619, 283, 1620, 751, 1044, 1298, 605, 
283, 780, 497, -531, -107, 639, 326, 1649, 771, 1078, 1327, 614, 
283, 800, 517, -541, -117, 658, 370, 1678, 790, 1112, 1356, 624, 
273, 814, 541, -544, -134, 678, 400, 1722, 829, 1132, 1371, 624, 
263, 829, 566, -546, -151, 697, 429, 1766, 868, 1151, 1385, 624, 
253, 814, 561, -534, -153, 688, 468, 1766, 854, 1141, 1371, 624, 
244, 800, 556, -522, -156, 678, 507, 1766, 839, 1132, 1356, 624, 
209, 780, 570, -495, -180, 675, 531, 1761, 800, 1102, 1337, 605, 
175, 761, 585, -468, -204, 673, 556, 1756, 761, 1073, 1317, 585, 
170, 751, 580, -461, -204, 666, 566, 1717, 702, 1029, 1288, 580, 
165, 741, 575, -453, -204, 658, 575, 1678, 644, 985, 1259, 575, 
131, 717, 585, -424, -226, 651, 575, 1605, 561, 932, 1229, 561, 
97, 692, 595, -395, -248, 644, 575, 1532, 478, 878, 1200, 546, 
87, 688, 600, -387, -256, 644, 531, 1439, 356, 800, 1166, 527, 
78, 683, 605, -380, -263, 644, 488, 1346, 234, 722, 1132, 507, 
48, 668, 619, -358, -285, 644, 463, 1239, 97, 610, 1054, 468, 
19, 653, 634, -336, -307, 644, 439, 1132, -39, 497, 976, 429, 
14, 595, 580, -305, -283, 588, 400, 1029, -180, 341, 854, 375, 
9, 536, 527, -273, -258, 531, 361, 927, -322, 185, 732, 322, 
4, 458, 453, -231, -224, 456, 326, 834, -439, 97, 678, 287, 
0, 380, 380, -190, -190, 380, 292, 741, -556, 9, 624, 253, 
-9, 370, 380, -180, -195, 375, 239, 639, -673, -73, 575, 239, 
-19, 361, 380, -170, -200, 370, 185, 536, -790, -156, 527, 224, 
-19, 331, 351, -156, -185, 341, 161, 458, -883, -224, 483, 195, 
-19, 302, 322, -141, -170, 312, 136, 380, -976, -292, 439, 165, 
-29, 258, 287, -114, -158, 273, 102, 312, -1073, -395, 370, 131, 
-39, 214, 253, -87, -146, 234, 68, 244, -1171, -497, 302, 97, 
-39, 195, 234, -78, -136, 214, 48, 190, -1234, -561, 248, 73, 
-39, 175, 214, -68, -126, 195, 29, 136, -1298, -624, 195, 48, 
-39, 136, 175, -48, -107, 156, 9, 97, -1351, -678, 156, 24, 
-39, 97, 136, -29, -87, 117, -9, 58, -1405, -732, 117, 0, 
-43, 97, 141, -26, -92, 119, -24, 24, -1424, -736, 117, 0, 
-43, 87, 131, -21, -87, 109, -39, 0, -1454, -751, 107, -9, 
-48, 82, 131, -17, -90, 107, -58, -29, -1488, -771, 97, -19, 
-48, 68, 117, -9, -82, 92, -78, -48, -1522, -805, 78, -24, 
-48, 48, 97, 0, -73, 73, -78, -63, -1537, -829, 58, -39, 
