I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 29, 39, -9, -24, 34, 82, 82, 78, 43, 53, 58, 
-19, 39, 58, -9, -39, 48, 92, 92, 92, 53, 58, 58, 
-29, 39, 68, -4, -48, 53, 97, 92, 97, 53, 58, 58, 
-34, 34, 68, 0, -51, 51, 87, 78, 92, 48, 58, 58, 
-39, 29, 68, 4, -53, 48, 58, 19, 73, 39, 58, 58, 
-39, 19, 58, 9, -48, 39, 19, -39, 48, 29, 58, 58, 
-43, 9, 53, 17, -48, 31, 0, -73, 34, 24, 53, 58, 
-48, 24, 73, 12, -61, 48, -4, -78, 24, 24, 53, 58, 
-58, 43, 102, 7, -80, 73, -14, -82, 19, 24, 53, 63, 
-58, 24, 82, 17, -70, 53, -34, -97, 9, 24, 53, 63, 
-53, -4, 48, 29, -51, 21, -39, -102, 0, 14, 53, 63, 
-43, -14, 29, 29, -36, 7, -58, -112, -14, 9, 48, 53, 
-39, -29, 9, 34, -24, -9, -68, -112, -24, 4, 43, 53, 
-24, -34, -9, 29, -7, -21, -78, -117, -34, 0, 43, 53, 
-24, -29, -4, 26, -9, -17, -78, -117, -34, 0, 43, 53, 
-24, -29, -4, 26, -9, -17, -73, -112, -43, -9, 39, 48, 
-19, -48, -29, 34, 4, -39, -58, -107, -43, -24, 24, 34, 
-19, -73, -53, 46, 17, -63, -48, -97, -53, -29, 4, 19, 
-19, -97, -78, 58, 29, -87, -43, -92, -53, -43, -14, 4, 
-14, -102, -87, 58, 36, -95, -43, -87, -53, -43, -24, -9, 
-14, -107, -92, 61, 39, -100, -43, -82, -53, -48, -29, -14, 
-9, -112, -102, 61, 46, -107, -43, -82, -53, -53, -29, -14, 
-14, -117, -102, 65, 43, -109, -43, -82, -53, -53, -34, -19, 
-14, -122, -107, 68, 46, -114, -43, -87, -58, -53, -34, -24, 
-14, -122, -107, 68, 46, -114, -43, -92, -58, -53, -34, -29, 
-9, -122, -112, 65, 51, -117, -39, -92, -58, -58, -34, -29, 
-4, -122, -117, 63, 56, -119, -34, -92, -58, -58, -39, -29, 
-4, -126, -122, 65, 58, -124, -34, -87, -58, -53, -34, -29, 
-4, -131, -126, 68, 61, -129, -34, -82, -58, -53, -29, -24, 
-4, -131, -126, 68, 61, -129, -34, -82, -58, -58, -29, -24, 
-4, -136, -131, 70, 63, -134, -34, -82, -58, -58, -29, -24, 
492, 356, -136, -424, 314, 109, 463, 419, 439, 439, 468, 473, 
990, 849, -141, -919, 566, 353, 961, 922, 936, 936, 966, 971, 
492, 351, -141, -422, 317, 104, 468, 424, 439, 429, 463, 473, 
-4, -146, -141, 75, 68, -143, -24, -73, -58, -78, -39, -24, 
0, -141, -141, 70, 70, -141, -48, -87, -68, -43, -19, -14, 
14, -141, -156, 63, 85, -148, -68, -107, -146, -34, 4, -4, 
4, -170, -175, 82, 90, -173, -78, -126, -253, -78, 4, -4, 
4, -195, -200, 95, 102, -197, -136, -214, -434, -126, 29, 4, 
19, -190, -209, 85, 114, -200, -248, -517, -707, -200, 82, 43, 
34, -190, -224, 78, 129, -207, -419, -1024, -1146, -322, 165, 117, 
53, -229, -283, 87, 168, -256, -629, -1561, -1708, -507, 263, 180, 
73, -209, -283, 68, 178, -246, -902, -2113, -2171, -585, 458, 307, 
68, -117, -185, 24, 126, -151, -1146, -2571, -2503, -561, 732, 507, 
53, -9, -63, -21, 58, -36, -1327, -2952, -2679, -517, 1019, 732, 
73, 107, 34, -90, 19, 70, -1464, -3186, -2723, -419, 1249, 883, 
117, 200, 82, -158, 17, 141, -1600, -3142, -2562, -219, 1410, 976, 
131, 200, 68, -165, 31, 134, -1595, -2884, -2244, -107, 1439, 995, 
131, 180, 48, -156, 41, 114, -1424, -2415, -1830, -117, 1342, 971, 
102, 107, 4, -104, 48, 56, -1205, -1932, -1498, -239, 1078, 839, 
34, -19, -53, -7, 43, -36, -961, -1542, -1249, -380, 722, 668, 
0, -73, -73, 36, 36, -73, -766, -1234, -971, -380, 512, 541, 
0, -82, -82, 41, 41, -82, -595, -941, -688, -375, 361, 458, 
-58, -68, -9, 63, -24, -39, -375, -605, -424, -263, 229, 361, 
-97, -68, 29, 82, -63, -19, -190, -331, -204, -126, 117, 244, 
-97, -73, 24, 85, -61, -24, -87, -195, -78, -53, 58, 136, 
-73, -87, -14, 80, -29, -51, -29, -82, 39, -48, 24, 73, 
-29, -112, -82, 70, 26, -97, 14, 29, 78, -48, -34, 14, 
-14, -146, -131, 80, 58, -139, 53, 68, 82, -39, -82, -48, 
-9, -156, -146, 82, 68, -151, 63, 68, 102, -39, -97, -58, 
-9, -146, -136, 78, 63, -141, 63, 82, 117, -29, -82, -58, 
-9, -146, -136, 78, 63, -141, 68, 92, 122, -24, -82, -58, 
-9, -146, -136, 78, 63, -141, 68, 92, 122, -14, -92, -58, 
-4, -146, -141, 75, 68, -143, 73, 92, 126, -14, -92, -63, 
-4, -146, -141, 75, 68, -143, 78, 102, 131, -14, -97, -63, 
-14, -146, -131, 80, 58, -139, 78, 102, 131, -14, -97, -68, 
-19, -146, -126, 82, 53, -136, 78, 107, 136, -9, -97, -73, 
-19, -141, -122, 80, 51, -131, 82, 107, 136, -9, -102, -78, 
-19, -136, -117, 78, 48, -126, 82, 107, 141, -4, -102, -78, 
-19, -136, -117, 78, 48, -126, 87, 112, 141, -4, -107, -78, 
-19, -136, -117, 78, 48, -126, 87, 112, 141, 0, -112, -78, 
-19, -131, -112, 75, 46, -122, 82, 112, 141, 0, -112, -78, 
-19, -131, -112, 75, 46, -122, 78, 107, 146, 0, -112, -78, 
-19, -126, -107, 73, 43, -117, 82, 112, 141, 0, -112, -78, 
-19, -126, -107, 73, 43, -117, 82, 112, 141, 4, -112, -82, 
-19, -122, -102, 70, 41, -112, 82, 112, 146, 4, -117, -82, 
-19, -117, -97, 68, 39, -107, 82, 117, 146, 4, -122, -78, 
-14, -117, -102, 65, 43, -109, 82, 117, 151, 4, -122, -82, 
-9, -117, -107, 63, 48, -112, 87, 126, 156, 9, -122, -87, 
-9, -112, -102, 61, 46, -107, 87, 131, 156, 4, -122, -87, 
-9, -112, -102, 61, 46, -107, 87, 136, 165, 4, -122, -92, 
-9, -107, -97, 58, 43, -102, 92, 141, 165, 4, -122, -87, 
-9, -107, -97, 58, 43, -102, 92, 146, 170, 9, -122, -82, 
-9, -107, -97, 58, 43, -102, 97, 151, 185, 14, -122, -82, 
-9, -102, -92, 56, 41, -97, 102, 156, 190, 24, -126, -82, 
-9, -102, -92, 56, 41, -97, 107, 161, 200, 24, -126, -82, 
-9, -97, -87, 53, 39, -92, 107, 165, 204, 29, -126, -82, 
-9, -87, -78, 48, 34, -82, 107, 175, 204, 29, -126, -87, 
-9, -82, -73, 46, 31, -78, 107, 180, 209, 39, -126, -92, 
-9, -82, -73, 46, 31, -78, 112, 190, 224, 39, -126, -92, 
-9, -78, -68, 43, 29, -73, 107, 195, 234, 39, -131, -92, 
-14, -68, -53, 41, 19, -61, 112, 204, 244, 43, -131, -92, 
-14, -63, -48, 39, 17, -56, 117, 219, 253, 48, -131, -92, 
-14, -53, -39, 34, 12, -46, 126, 239, 268, 58, -131, -92, 
-14, -39, -24, 26, 4, -31, 146, 263, 287, 73, -131, -92, 
