I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -48, -39, 29, 14, -43, 0, 0, -9, 19, 9, 0, 
-9, -48, -39, 29, 14, -43, 0, 0, -9, 19, 9, 0, 
-9, -48, -39, 29, 14, -43, 0, 0, -9, 19, 9, 0, 
-9, -43, -34, 26, 12, -39, 0, 0, -9, 24, 9, 0, 
-9, -39, -29, 24, 9, -34, 0, 0, -9, 29, 9, 0, 
-9, -39, -29, 24, 9, -34, 0, 0, -9, 29, 9, 0, 
-9, -39, -29, 24, 9, -34, 0, 0, -9, 29, 9, 0, 
-14, -39, -24, 26, 4, -31, 0, -4, -9, 29, 4, -4, 
-19, -39, -19, 29, 0, -29, 0, -9, -9, 29, 0, -9, 
-19, -39, -19, 29, 0, -29, 0, -9, -9, 34, 0, -9, 
-19, -39, -19, 29, 0, -29, 0, -9, -9, 39, 0, -9, 
-19, -34, -14, 26, -2, -24, 4, -4, -4, 43, 9, -9, 
-19, -29, -9, 24, -4, -19, 9, 0, 0, 48, 19, -9, 
-19, -19, 0, 19, -9, -9, 9, 4, 4, 58, 19, -4, 
-19, -9, 9, 14, -14, 0, 9, 9, 9, 68, 19, 0, 
-19, -4, 14, 12, -17, 4, 14, 9, 9, 73, 24, 0, 
-19, 0, 19, 9, -19, 9, 19, 9, 9, 78, 29, 0, 
-19, 4, 24, 7, -21, 14, 19, 9, 9, 78, 29, 4, 
-19, 9, 29, 4, -24, 19, 19, 9, 9, 78, 29, 9, 
-19, 9, 29, 4, -24, 19, 19, 9, 9, 78, 29, 9, 
-19, 9, 29, 4, -24, 19, 19, 9, 9, 78, 29, 9, 
-19, 14, 34, 2, -26, 24, 19, 9, 9, 82, 29, 9, 
-19, 19, 39, 0, -29, 29, 19, 9, 9, 87, 29, 9, 
-19, 19, 39, 0, -29, 29, 19, 4, 9, 87, 34, 9, 
-19, 19, 39, 0, -29, 29, 19, 0, 9, 87, 39, 9, 
-19, 24, 43, -2, -31, 34, 19, 0, 9, 87, 39, 9, 
-19, 29, 48, -4, -34, 39, 19, 0, 9, 87, 39, 9, 
-19, 29, 48, -4, -34, 39, 19, 0, 9, 87, 39, 9, 
-19, 29, 48, -4, -34, 39, 19, 0, 9, 87, 39, 9, 
-19, 24, 43, -2, -31, 34, 19, 0, 9, 87, 39, 4, 
-19, 19, 39, 0, -29, 29, 19, 0, 9, 87, 39, 0, 
-14, 19, 34, -2, -24, 26, 14, -4, 4, 87, 34, 0, 
-9, 19, 29, -4, -19, 24, 9, -9, 0, 87, 29, 0, 
-9, 24, 34, -7, -21, 29, 9, -9, 0, 82, 29, 0, 
-9, 29, 39, -9, -24, 34, 9, -9, 0, 78, 29, 0, 
-9, 29, 39, -9, -24, 34, 9, -14, 0, 78, 29, 0, 
-9, 29, 39, -9, -24, 34, 9, -19, 0, 78, 29, 0, 
-9, 29, 39, -9, -24, 34, 9, -19, 0, 78, 29, 0, 
-9, 29, 39, -9, -24, 34, 9, -19, 0, 78, 29, 0, 
-9, 29, 39, -9, -24, 34, 4, -19, 0, 78, 24, 0, 
